Key,russian
actionPerkAthletics1,"Максимум выносливости [decea3]+5%[-]\nВосстановление выносливости при беге [decea3]+5%[-]"
actionPerkAthletics2,"Максимум выносливости [decea3]+10%[-]\nВосстановление выносливости при беге [decea3]+10%[-]"
actionPerkAthletics3,"Максимум выносливости [decea3]+15%[-]\nВосстановление выносливости при беге [decea3]+15%[-]"
actionPerkAthletics4,"Максимум выносливости [decea3]+20%[-]\nВосстановление выносливости при беге [decea3]+20%[-]"
actionPerkAthletics5,"Максимум выносливости [decea3]+25%[-]\nВосстановление выносливости при беге [decea3]+25%[-]"
actionPerkAthletics,"Атлетика"
actionPerkAthleticsDesc,"Повышает скорость регенерации выносливости при беге и максимальную выносливость до [decea3]20%[-]. Гуляйте, бегайте, прыгайте или плавайте, чтоб развить навык."
actionPerkAthleticsEffect,"Повышает скорость регенерации выносливости при беге и максимальную выносливость на [decea3]0.2%[-]."
actionPerkAxes1,"Урон [decea3]+10%[-]\nЭффективность заготовки [decea3]+10%[-]"
actionPerkAxes2,"Урон [decea3]+20%[-]\nЭффективность заготовки [decea3]+20%[-]"
actionPerkAxes3,"Урон [decea3]+30%[-]\nЭффективность заготовки [decea3]+30%[-]"
actionPerkAxes4,"Урон [decea3]+40%[-]\nЭффективность заготовки [decea3]+40%[-]"
actionPerkAxes5,"Урон [decea3]+50%[-]\nЭффективность заготовки [decea3]+50%[-]"
actionPerkAxes,"Лесоруб"
actionPerkBigGuns,"Большие Пушки"
actionPerkBigGunsDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]BFG[-] до [decea3]25%[-]. Используйте ракетные установки, чтобы улучшить этот навык."
actionPerkBigGunsEffect,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]BFG[-] \nна [decea3]0.25%[-]."
actionPerkBlades1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkBlades2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkBlades3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkBlades4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkBlades5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkBlades,"Клинки и Мечи"
actionPerkBladesDesc,"Повышает урон клинкового оружия, скорость атаки и шанс расчленения (увечья) до [decea3]25%[-] количество собранного мяса до [decea3]40%[-]. Используйте клинковое оружие для развития этого навыка."
actionPerkBladesEffect,"Повышает урон клинкового оружия, скорость атаки и шанс расчленения (увечья) на [decea3]0.25%[-]. количество собранного мяса на [decea3]0.4%[-]."
actionPerkBlunt,"Тупое оружие"
actionPerkBluntDesc,"Повышает урон от тупого оружия, скорость атаки и шанс оглушения до [decea3]25%[-]. Используйте тупое оружие ближнего боя, чтобы улучшить этот навык."
actionPerkBluntEffect,"Повышает урон от тупого оружия, скорость атаки и шанс оглушения на [decea3]0.25%[-]."
actionPerkBrawler1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkBrawler2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkBrawler3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkBrawler4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkBrawler5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkBrawler,"Кулачный бой"
actionPerkButcher1,"Ресурсов с трупов животных [decea3]+10%[-]"
actionPerkButcher2,"Ресурсов с трупов животных [decea3]+20%[-]"
actionPerkButcher3,"Ресурсов с трупов животных [decea3]+30%[-]"
actionPerkButcher4,"Ресурсов с трупов животных [decea3]+40%[-]"
actionPerkButcher5,"Ресурсов с трупов животных [decea3]+50%[-]"
actionPerkButcher,"Свежевание"
actionPerkClubs1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nДополнительный урон по оглушенным целям [decea3]+10%[-]"
actionPerkClubs2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nДополнительный урон по оглушенным целям [decea3]+20%[-]"
actionPerkClubs3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nДополнительный урон по оглушенным целям [decea3]+30%[-]"
actionPerkClubs4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nДополнительный урон по оглушенным целям [decea3]+40%[-]"
actionPerkClubs5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nДополнительный урон по оглушенным целям [decea3]+50%[-]"
actionPerkClubs,"Дубинки"
actionPerkCombatRifles,"Винтовки"
actionPerkCombatRiflesDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Винтовок[-] \nдо [decea3]25%[-]. Используйте винтовки, чтобы улучшить этот навык."
actionPerkCombatRiflesEffect,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Винтовок[-] \nна [decea3]0.25%[-]."
actionPerkDesc,"[decea3]Навык[-]: Уровень повышается сам по себе при выполнении определенных действий (стрельба из лука\копка\разборка предметов и т.д.) или при прочтении книги относящихся к навыку.\n\n"
actionPerkExplosives1,"Урон [decea3]+10%[-]\nТочность и шанс расчленения [decea3]+5%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkExplosives2,"Урон [decea3]+20%[-]\nТочность и шанс расчленения [decea3]+10%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkExplosives3,"Урон [decea3]+30%[-]\nТочность и шанс расчленения [decea3]+15%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkExplosives4,"Урон [decea3]+40%[-]\nТочность и шанс расчленения [decea3]+20%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkExplosives5,"Урон [decea3]+50%[-]\nТочность и шанс расчленения [decea3]+25%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkExplosives,"Взрывчатые вещества"
actionPerkFarmer,"Фермер"
actionPerkFarmerDesc,"Вы становитесь более умелым, используя сельскохозяйственные или связанные с копанием инструменты, такие как лопаты, грабли и серпы. Используйте сельскохозяйственные инструменты, чтобы улучшить этот навык."
actionPerkFarmerEffect,"[decea3]+0.5%[-] Урона блокам, [decea3]+0.2%[-] скорость атаки, расход выносливости [decea3]-0.2%[-]."
actionPerkHandguns1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkHandguns2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkHandguns3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkHandguns4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkHandguns5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkHandguns,"Пистолеты"
actionPerkHandgunsDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Пистолетов[-] до [decea3]25%[-]. Используйте пистолеты для развития этого навыка."
actionPerkHandgunsEffect,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Пистолетов[-] на \nна [decea3]0.25%[-]."
actionPerkHealing1,"Эффективность медикаментов [decea3]+10%[-]"
actionPerkHealing2,"Эффективность медикаментов [decea3]+20%[-]"
actionPerkHealing3,"Эффективность медикаментов [decea3]+30%[-]"
actionPerkHealing4,"Эффективность медикаментов [decea3]+40%[-]"
actionPerkHealing5,"Эффективность медикаментов [decea3]+50%[-]"
actionPerkHealing,"Лекарь"
actionPerkHealingDesc,"Увеличивает максимальное здоровье до [decea3]50[-]. Используйте медикаменты для развития навыка."
actionPerkHealingEffect,"Увеличивает максимальное здоровье на [decea3]0.5[-]."
actionPerkLockPicking1,"Отмычки и булавки прочнее на [decea3]20%[-]. Увеличивает слабую зону на [decea3]1.6[-] градусов"
actionPerkLockPicking2,"Отмычки и булавки прочнее на [decea3]40%[-]. Увеличивает слабую зону на [decea3]3.2[-] градусов"
actionPerkLockPicking3,"Отмычки и булавки прочнее на [decea3]60%[-]. Увеличивает слабую зону на [decea3]4.8[-] градусов"
actionPerkLockPicking4,"Отмычки и булавки прочнее на [decea3]80%[-]. Увеличивает слабую зону на [decea3]6.4[-] градусов"
actionPerkLockPicking5,"Отмычки и булавки прочнее на [decea3]100%[-]. Увеличивает слабую зону на [decea3]8.0[-] градусов"
actionPerkLockPicking,"Взлом замков"
actionPerkLockpickingDesc,"Улучшает ваше умение взламывать замки, увеличивая скорость взлома замка до [decea3]50%[-]. Чтобы улучшить это умение, взламывайте замки."
actionPerkLockpickingEffect,"Взлом быстрее на [decea3]0.5%[-]."
actionPerkLogger,"Лесоруб"
actionPerkLoggerDesc,"Вы становитесь опытней когда используете топоры и пилы. Используете топоры и пилы чтоб развить навык."
actionPerkLoggerEffect,"[decea3]+0.5%[-] Урон блокам, [decea3]+0.2%[-] скорость атаки, [decea3]-0.2%[-] расход выносливости."
actionPerkLooting1,"Скорость обыска объектов [decea3]+10%[-]\nЭтап добычи(LootStage) [decea3]+5%[-]"
actionPerkLooting2,"Скорость обыска объектов [decea3]+20%[-]\nЭтап добычи(LootStage) [decea3]+10%[-]"
actionPerkLooting3,"Скорость обыска объектов [decea3]+30%[-]\nЭтап добычи(LootStage) [decea3]+15%[-]"
actionPerkLooting4,"Скорость обыска объектов [decea3]+40%[-]\nЭтап добычи(LootStage) [decea3]+20%[-]"
actionPerkLooting5,"Скорость обыска объектов [decea3]+50%[-]\nЭтап добычи(LootStage) [decea3]+25%[-]"
actionPerkLooting,"Добыча"
actionPerkMining1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkMining2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkMining3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkMining4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkMining5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkMining,"Шахтер"
actionPerkMiningDesc,"Вы становитесь более умелым при использовании инструментов, связанных с добычей полезных ископаемых, таких как кирки и буры. Используйте шахтерские инструменты, чтобы улучшить этот навык."
actionPerkMiningEffect,"[decea3]+0.5%[-] Урон блокам, [decea3]+0.2%[-] скорость атаки, [decea3]-0.2%[-] расход выносливости."
actionPerkPainTolerance,"Болевой порог"
actionPerkPainToleranceDesc,"Не обращайте внимания на боль, продолжайте драться когда другие уже сдались. Получайте урон чтоб развить навык."
actionPerkPainToleranceEfffect,"Снижает потери здоровья на [decea3]0.25%[-] и повышает сопротивление оглушению на [decea3]0.75%[-]."
actionPerkQuesting1,"Награда Дюками [decea3]+5%[-]"
actionPerkQuesting2,"Награда Дюками [decea3]+10%[-]"
actionPerkQuesting3,"Награда Дюками [decea3]+15%[-]\nДополнительный предмет на выбор за выполнение задания"
actionPerkQuesting4,"Награда Дюками [decea3]+20%[-]\nДополнительный предмет в награду за выполнение задания"
actionPerkQuesting5,"Награда дюками [decea3]+25%[-]"
actionPerkQuesting,"Задания"
actionPerkResistCold1,"Устойчивость к холоду [decea3]+5[-]"
actionPerkResistCold2,"Устойчивость к холоду [decea3]+10[-]"
actionPerkResistCold3,"Устойчивость к холоду [decea3]+15[-]"
actionPerkResistCold4,"Устойчивость к холоду [decea3]+20[-]"
actionPerkResistCold5,"Устойчивость к холоду [decea3]+25[-]"
actionPerkResistCold,"Устойчивость к холоду"
actionPerkResistHeat1,"Устойчивость к жаре [decea3]+5[-]"
actionPerkResistHeat2,"Устойчивость к жаре [decea3]+10[-]"
actionPerkResistHeat3,"Устойчивость к жаре [decea3]+15[-]"
actionPerkResistHeat4,"Устойчивость к жаре [decea3]+20[-]"
actionPerkResistHeat5,"Устойчивость к жаре [decea3]+25[-]"
actionPerkResistHeat,"Устойчивость к жаре"
actionPerkResistPain1,"Потеря здоровья [decea3]-4%[-]\nСопротивление оглушению [decea3]+10%[-]"
actionPerkResistPain2,"Потеря здоровья [decea3]-8%[-]\nСопротивление оглушению [decea3]+20%[-]"
actionPerkResistPain3,"Потеря здоровья [decea3]-12%[-]\nСопротивление оглушению [decea3]+30%[-]"
actionPerkResistPain4,"Потеря здоровья [decea3]-16%[-]\nСопротивление оглушению [decea3]+40%[-]"
actionPerkResistPain5,"Потеря здоровья [decea3]-20%[-]\nСопротивление оглушению [decea3]+50%[-]"
actionPerkResistPain,"Болевой порог"
actionPerkSalvaging1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkSalvaging2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkSalvaging3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkSalvaging4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkSalvaging5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkSalvaging,"Старьевщик"
actionPerkScavenger,"Мусорщик"
actionPerkScavengerDesc,"Улучшает способность искать добычу, увеличивая скорость поиска в контейнерах с добычей до [decea3]50%[-]. Чтобы улучшить это умение, собирайте контейнеры с добычей."
actionPerkScavengerEffect,"Сбор мусора происходит на [decea3]0,5%[-] быстрее."
actionPerkShockers1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkShockers2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkShockers3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkShockers4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkShockers5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkShockers,"Шоковая дубинка"
actionPerkShotguns1,"Урон, Скорострельность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkShotguns2,"Урон, Скорострельность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkShotguns3,"Урон, Скорострельность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkShotguns4,"Урон, Скорострельность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkShotguns5,"Урон, Скорострельность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkShotguns,"Дробовики"
actionPerkShotgunsDesc,"Повышает скорострельность [decea3]дробовика[-], скорость перезарядки, урон и точность до [decea3]25%[-]. Используйте дробовики, чтобы развить этот навык."
actionPerkShotgunsEffect,"Повышает скорострельность [decea3]дробовика[-], скорость перезарядки, урон и точность \nна [decea3]0.25%[-]."
actionPerkShovels1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkShovels2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkShovels3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkShovels4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkShovels5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkShovels,"Землекоп"
actionPerkSledgehammers1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\n"
actionPerkSledgehammers2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\n"
actionPerkSledgehammers3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\n"
actionPerkSledgehammers4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\n"
actionPerkSledgehammers5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\n"
actionPerkSledgehammers,"Молоты"
actionPerkSneaking1,"Скорость передвижения в режиме скрытности [decea3]+5%[-]\nШанс обнаружения и создаваемый шум [decea3]-5%[-]"
actionPerkSneaking2,"Скорость передвижения в режиме скрытности [decea3]+10%[-]\nШанс обнаружения и создаваемый шум [decea3]-10%[-]"
actionPerkSneaking3,"Скорость передвижения в режиме скрытности [decea3]+15%[-]\nШанс обнаружения и создаваемый шум [decea3]-15%[-]"
actionPerkSneaking4,"Скорость передвижения в режиме скрытности [decea3]+20%[-]\nШанс обнаружения и создаваемый шум [decea3]-20%[-]"
actionPerkSneaking5,"Скорость передвижения в режиме скрытности [decea3]+25%[-]\nШанс обнаружения и создаваемый шум [decea3]-25%[-]"
actionPerkSneaking,"Скрытность"
actionPerkSneakingDesc,"Повышает Скорость передвижения в режиме скрытности и уменьшает издаваемый шум до [decea3]25%[-]. Движение в режиме скрытности развивает навык."
actionPerkSneakingEffect,"Повышает Скорость передвижения в режиме скрытности и уменьшает издаваемый шум на [decea3]0.25%[-]."
actionPerkSniperRifles1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]\n[decea3]Разблокирует создание Экспансивных патронов или «дум-дум» 7.92mm[-]"
actionPerkSniperRifles2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]\n[decea3]Разблокирует создание Бронебойных патронов 7.92mm[-]"
actionPerkSniperRifles3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkSniperRifles4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkSniperRifles5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkSniperRifles,"Снайперские винтовки"
actionPerkSpears1,"Урон, Шанс расчленения [decea3]+5%[-]\nСила броска [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkSpears2,"Урон, Шанс расчленения [decea3]+10%[-]\nСила броска [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkSpears3,"Урон, Шанс расчленения [decea3]+15%[-]\nСила броска [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkSpears4,"Урон, Шанс расчленения [decea3]+20%[-]\nСила броска [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkSpears5,"Урон, Шанс расчленения [decea3]+25%[-]\nСила броска [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkSpears,"Копья"
actionPerkStrength1,"Увеличивает переносимый вес на [decea3]20[-] единиц"
actionPerkStrength2,"Увеличивает переносимый вес на [decea3]40[-] единиц"
actionPerkStrength3,"Увеличивает переносимый вес на [decea3]60[-] единиц"
actionPerkStrength4,"Увеличивает переносимый вес на [decea3]80[-] единиц"
actionPerkStrength5,"Увеличивает переносимый вес на [decea3]100[-] единиц"
actionPerkStrength,"Поднятие тяжестей"
actionPerkSubmachineGuns1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]\n[decea3]Разблокирует создание Экспансивных или «дум-дум» патронов 10мм[-]"
actionPerkSubmachineGuns2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]\n[decea3]Разблокирует создание Бронебойных патронов 10мм[-][-]"
actionPerkSubmachineGuns3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkSubmachineGuns4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkSubmachineGuns5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkSubmachineGuns,"Пистолеты-пулемёты"
actionPerkSubmachineGunsDesc,"Повышает скорострельность [decea3]пистолета-пулемета[-], скорость перезарядки, урон и точность до [decea3]25%[-]. Для развития этого навыка используйте пистолеты-пулеметы."
actionPerkSubmachineGunsEffect,"Повышает скорострельность [decea3]пистолета-пулемета[-], скорость перезарядки, урон и точность \nна [decea3]0.25%[-]."
actionPerkTipExp,"Текущий"
actionPerkTipExpLong,"Текущий опыт"
actionPerkTipExpNext,"до След."
actionPerkTipExpNextLong,"Опыта для повышения уровня"
actionPerkTrading1,"Лучшие цены купли/продажи [decea3]+5%[-]\nТайник торговца [decea3]+1[-]"
actionPerkTrading2,"Лучшие цены купли/продажи [decea3]+10%[-]\nТайник торговца [decea3]+2[-]"
actionPerkTrading3,"Лучшие цены купли/продажи [decea3]+15%[-]\nТайник торговца [decea3]+3[-]"
actionPerkTrading4,"Лучшие цены купли/продажи [decea3]+20%[-]\nТайник торговца [decea3]+4[-]"
actionPerkTrading5,"Лучшие цены купли/продажи [decea3]+25%[-]\nТайник торговца [decea3]+5[-]"
actionPerkTrading,"Торговля"
actionPerkTurrets1,"Эффективность портативной турели [decea3]+5%[-]\nОпыт от механизмов [decea3]+5%[-]"
actionPerkTurrets2,"Эффективность портативной турели [decea3]+10%[-]\nОпыт от механизмов [decea3]+10%[-]"
actionPerkTurrets3,"Эффективность портативной турели [decea3]+15%[-]\nОпыт от механизмов [decea3]+15%[-]"
actionPerkTurrets4,"Эффективность портативной турели [decea3]+20%[-]\nОпыт от механизмов [decea3]+20%[-]"
actionPerkTurrets5,"Эффективность портативной турели [decea3]+25%[-]\nОпыт от механизмов [decea3]+25%[-]"
actionPerkTurrets,"Турели"
actionSkillDeathPenalty,"Вы потеряли память, некоторые из ваших [decea3]Навыков[-] ухудшились на один уровень"
activeBlockPrompt,"{0}\n[73E9B2](Активный)[-]"
adhesive,"Адгезионный клей"
ammo9mmBulletAP,"9мм Патроны(ББ)"
