Key,russian
actionPerkQuesting1,"Награда дюками [decea3]+5%[-]"
actionPerkQuesting2,"Награда дюками [decea3]+10%[-]"
actionPerkQuesting3,"Награда дюками [decea3]+15%[-]\nДополнительный предмет на выбор за выполнение задания"
actionPerkQuesting4,"Награда дюками [decea3]+20%[-]\nДополнительный предмет в награду за выполнение задания"
actionPerkQuesting5,"Награда дюками [decea3]+25%[-]"
actionPerkQuestingLevelUp,"Ваш навык [decea3]Заданий[-] повысился!"
actionPerkResistCold,"Устойчивость к холоду"
actionPerkResistCold1,"Устойчивость к холоду [decea3]+5[-]"
actionPerkResistCold2,"Устойчивость к холоду [decea3]+10[-]"
actionPerkResistCold3,"Устойчивость к холоду [decea3]+15[-]"
actionPerkResistCold4,"Устойчивость к холоду [decea3]+20[-]"
actionPerkResistCold5,"Устойчивость к холоду [decea3]+25[-]"
actionPerkResistColdLevelUp,"Ваша [decea3]Устойчивость к холоду[-] повысилась!"
actionPerkResistHeat,"Устойчивость к жаре"
actionPerkResistHeat1,"Устойчивость к жаре [decea3]+5[-]"
actionPerkResistHeat2,"Устойчивость к жаре [decea3]+10[-]"
actionPerkResistHeat3,"Устойчивость к жаре [decea3]+15[-]"
actionPerkResistHeat4,"Устойчивость к жаре [decea3]+20[-]"
actionPerkResistHeat5,"Устойчивость к жаре [decea3]+25[-]"
actionPerkResistHeatLevelUp,"Ваша [decea3]Устойчивость к жаре[-] повысилась!"
actionPerkResistPain,"Болевой порог"
actionPerkResistPain1,"Потеря здоровья [decea3]-4%[-]\nСопротивление оглушению [decea3]+10%[-]"
actionPerkResistPain2,"Потеря здоровья [decea3]-8%[-]\nСопротивление оглушению [decea3]+20%[-]"
actionPerkResistPain3,"Потеря здоровья [decea3]-12%[-]\nСопротивление оглушению [decea3]+30%[-]"
actionPerkResistPain4,"Потеря здоровья [decea3]-16%[-]\nСопротивление оглушению [decea3]+40%[-]"
actionPerkResistPain5,"Потеря здоровья [decea3]-20%[-]\nСопротивление оглушению [decea3]+50%[-]"
actionPerkResistPainLevelUp,"Ваш [decea3]Болевой порог[-] повысился!"
actionPerkSalvaging,"Старьевщик"
actionPerkSalvaging1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkSalvaging2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkSalvaging3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkSalvaging4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkSalvaging5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkSalvagingLevelUp,"Ваш навык [decea3]Старьевщика[-] повысился!"
actionPerkScavenger,"Мусорщик"
actionPerkScavengerDesc,"Улучшает способность искать добычу, увеличивая скорость поиска в контейнерах с добычей до [decea3]50%[-]. Чтобы улучшить это умение, собирайте контейнеры с добычей."
actionPerkScavengerEffect,"Сбор мусора происходит на [decea3]0,5%[-] быстрее."
actionPerkShockers,"Шоковая дубинка"
actionPerkShockers1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkShockers2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkShockers3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkShockers4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkShockers5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkShockersLevelUp,"Ваш навык владения [decea3]Шоковая дубинка[-] повысился"
actionPerkShotguns,"Дробовики"
actionPerkShotguns1,"Урон, Скорострельность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkShotguns2,"Урон, Скорострельность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkShotguns3,"Урон, Скорострельность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkShotguns4,"Урон, Скорострельность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkShotguns5,"Урон, Скорострельность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkShotgunsDesc,"Повышает скорострельность [decea3]дробовика[-], скорость перезарядки, урон и точность до [decea3] 25% [-]. Используйте дробовики, чтобы развить этот навык."
actionPerkShotgunsEffect,"Повышает скорострельность [decea3]дробовика[-], скорость перезарядки, урон и точность \nна [decea3]0.25%[-]."
actionPerkShotgunsLevelUp,"Ваш навык владения [decea3]Дробовиками[-] повысился!"
actionPerkShovels,"Землекоп"
actionPerkShovels1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkShovels2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkShovels3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkShovels4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkShovels5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkShovelsLevelUp,"Ваш навык [decea3]Земплекоп[-] повысился!"
actionPerkSledgehammers,"Молоты"
actionPerkSledgehammers1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\n"
actionPerkSledgehammers2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\n"
actionPerkSledgehammers3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\n"
actionPerkSledgehammers4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\n"
actionPerkSledgehammers5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\n"
actionPerkSledgehammersLevelUp,"Ваш навык владения [decea3]Молотами[-] повысился!"
actionPerkSneaking,"Подкрадывание"
actionPerkSneaking1,"Скорость в приседе [decea3]+5%[-]\nОбнаружение и шум [decea3]-5%[-]"
actionPerkSneaking2,"Скорость в приседе [decea3]+10%[-]\nОбнаружение и шум [decea3]-10%[-]"
actionPerkSneaking3,"Скорость в приседе [decea3]+15%[-]\nОбнаружение и шум [decea3]-15%[-]"
actionPerkSneaking4,"Скорость в приседе [decea3]+20%[-]\nОбнаружение и шум [decea3]-20%[-]"
actionPerkSneaking5,"Скорость в приседе [decea3]+25%[-]\nОбнаружение и шум [decea3]-25%[-]"
actionPerkSneakingDesc,"Повышает скорость в приседе и уменьшает издаваемый шум до [decea3]25%[-]. Движение в приседе развивает навык."
actionPerkSneakingEffect,"Повышает скорость в приседе и уменьшает издаваемый шум на [decea3]0.25%[-]."
actionPerkSneakingLevelUp,"Ваш навык [decea3]Подкрадывания[-] повысился!"
actionPerkSniperRifles,"Снайперские винтовки"
actionPerkSniperRifles1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]\n[decea3]Разблокирует создание Экспансивных патронов или «дум-дум» 7.92mm[-]"
actionPerkSniperRifles2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]\n[decea3]Разблокирует создание Бронебойных патронов 7.92mm[-]"
actionPerkSniperRifles3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkSniperRifles4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkSniperRifles5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkSniperRiflesLevelUp,"Ваш навык владения [decea3]Снайперскими винтовками[-] повысился!"
actionPerkSpears,"Копья"
actionPerkSpears1,"Урон, Шанс расчленения [decea3]+5%[-]\nСила броска [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkSpears2,"Урон, Шанс расчленения [decea3]+10%[-]\nСила броска [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkSpears3,"Урон, Шанс расчленения [decea3]+15%[-]\nСила броска [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkSpears4,"Урон, Шанс расчленения [decea3]+20%[-]\nСила броска [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkSpears5,"Урон, Шанс расчленения [decea3]+25%[-]\nСила броска [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkSpearsLevelUp,"Ваш навык владения [decea3]Копьями[-] повысился!"
actionPerkSubmachineGuns,"Пистоле́ты-пулемёты"
actionPerkSubmachineGuns1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]\n[decea3]Разблокирует создание Экспансивных или «дум-дум» патронов 10мм[-]"
