Key,English
statReduceWeightBeltFoodDrinks,"Food/Drink Weight in Belt"
statReduceWeightBeltConsumables,"Consumable Weight in Belt"
statReduceWeightBeltResources,"Resource Weight in Belt"
statReduceWeightBeltOreWood,"Ore/Wood Weight in Belt"
statStaminaChangeOT,"Stamina Regen"
statStaminaDrainOT,"Stamina"
statTempFeelsLike,"Feels Like"
statVehicleCargoCapacity,"Cargo Capacity"
statVehicleCargoOverloaded,"Cargo Overloaded"
statVehicleLightIntensity,"Light Intensity"
xuiActionSkills,"Action Skills"
xuiActiveEffects,"Active Effects"
xuiAllies,"Allies"
xuiBuyPrice,"$"
xuiCreative,"Creative"
xuiCharacter,"Character"
xuiCrafting,"Crafting"
xuiCurrentLife,"Current Life"
xuiCosmetics,"Cosmetics"
xuiCollectibles,"Collectibles"
xuiDeaths,"Deaths"
xuiFood,"Food"
xuiFeelsLike,"Feels like"
xuiGameSettingsPrefabList,"Prefab List"
xuiGameStage,"Game\nStage"
xuiGenCity,"Cities"
xuiGenRural,"Rural Towns"
xuiInventory,"Inventory"
xuiInventory,"Inventory"
xuiItemsCrafted,"Items Crafted"
xuiJournal,"Journal"
xuiLongestLife,"Longest Life"
xuiLevel,"Level"
xuiMap,"Map"
xuiModifiers,"Modifiers"
xuiNoSellPrice," "
xuiObjectives,"Objectives"
xuiOptionsDynamicMesh,"Dynamic Meshes"
xuiOptionsVideoDistanceCustom,"Custom"
xuiOptionsVideoPresetsVeryHigh,"Very High"
xuiParty,"Party"
xuiPing,"Ping"
xuiPlayerKills,"Player Kills"
xuiPlayers,"Players"
xuiPlayerShow,"Show"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"Prefab Editor"
xuiQuests,"Missions"
xuiResearch,"Research"
xuiRewards,"Rewards"
xuiRewardsNotAvailable,"Rewards not available."
xuiRwgCountyName,"World Name"
xuiRwgPreviewer,"World Generator"
xuiRwgWorldSeed,"Seed"
xuiSellPrice,"$"
xuiSharedWaypoints,"Shared"
xuiSign,"Edit sign text"
xuiSkillBuy,"Unlock"
xuiSkillNerfedEffect,"[FF6A00]Skill doesn't meet one or more of it's requirements.[-]"
xuiSkills,"Skills"
xuiSkillList,"Skills"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Vehicle storage"
xuiVoice,"Voice"
xuiWater,"Water"
xuiWaypoints,"Saved"
xuiWorldEditor,"World Editor"
xuiWPskills,"Skills"
xuiXPToNextLevel,"Exp till level up"
xuiZombieKills,"Zombie Kills"
inpActSkillsName,"Skills"
inpActSkillsDesc,"Open Skills Tab"
xuiSnow,"Snow"
xuiDesert,"Desert"
xuiPineForest,"Forest"
xuiWasteland,"Wasteland"
xuiwindowResearch,"Research"
xuiwindowSkillTree,"Skills"
quest_clear_response,"Clear at [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_response,"Fetch at [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_clear_response,"Fetch/Clear at [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_restore_power_response,"Restore Power at [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_test_response,"Test [DECEA3]Tier {custom.tier}[-] Reward"
uiLoadStartingGame,"Please wait...\nScavenging for supplies"
uiLoadLoadingXml,"Please wait...\nLooking for survivors"
uiLoadCreatingWorld,"Please wait...\nFighting off undead"
uiLoadCreatingPlayer,"Please wait...\nFighting off raiders"
msgBuildingEnvironment,"Please wait...\nSeeking shelter"
msgGeneratingDistantTerrain,"Please wait...\nLooking for binoculars"
msgStartingGame,"Please wait...\nSmelting some ore"
uiLoadWaitingForServer,"Please wait...\nPreparing for horde"
waitingForServer,"Please wait...\nHunting for some food"
questBlockActivate,"[73E9B2][{{0}}][-] Activate {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Begin Mission\n[decea3]( {1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Take {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Take {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Open Forge"
useCampfire,"[73E9B2][{0}][-] Use"
useForge,"[73E9B2][{0}][-] Use"
useSecureDoor,"[73E9B2][{0}][-] Use"
useDoor,"[73E9B2][{0}][-] Use"
useOpen,"[73E9B2][{0}][-] Open"
useClose,"[73E9B2][{0}][-] Close"
useWorkstation,"[73E9B2][{0}][-] Use"
lootAccess,"[73E9B2][{0}][-] Access {1}"
lootEntity,"[73E9B2][{0}][-] Search {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Open {1}\n[606060](Empty)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Search {1}\n[73E9B2](Untouched)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Open {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Open {1}{2}\n[606060](Empty)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Search {1}{2}\n[73E9B2](Untouched)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Open {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Use {1}{2}\n[606060](Jammed)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Use {1}{2}\n[606060](Locked)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Use {1}{2}\n[606060](Unlocked)[-]"
tooltipJammed,"[73E9B2][{0}][-] Use {1}\n[606060](Jammed)[-]"
tooltipLocked,"[73E9B2][{0}][-] Use {1}\n[606060](Locked)[-]"
tooltipLockedEmpty,"[73E9B2][{0}][-] Use {1}\n[606060](Locked, Empty)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Use {1}\n[606060](Unlocked)[-]"
tooltipUnlockedEmpty,"[73E9B2][{0}][-] Use {1}\n[606060](Unlocked, Empty)[-]"
useBlock,"[73E9B2][{0}][-] Use {1}"
useDoorPicked,"[73E9B2][{0}][-] Use {1}\n[606060](Picked)[-]"
editLabel,"[73E9B2][{0}][-] Edit Label"
useElevator,"[73E9B2][{0}][-] Use [808080](Floor {1})[-]"
lootItem,"[73E9B2][{0}][-] Pick up {1}"
tooltipInteract,"[73E9B2][{0}][-] Use {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Use {1}"
useSwitchOff,"[73E9B2][{0}][-] Turn off"
useSwitchOn,"[73E9B2][{0}][-] Turn on"
useSwitchLightOff,"[73E9B2][{0}][-] Turn off"
useSwitchLightOn,"[73E9B2][{0}][-] Turn on"
npcTooltipTalk,"[73E9B2][{0}][-] Talk to {1}"
pickupCrops,"[73E9B2][{{0}}][-] Harvest [decea3]{0}[-] {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Pick up {0}"
xuiVendingWithOwner,"Vending Machine\n[808080]({0})[-]"
xuiLockAmmo,"Turn On"
xuiUnlockAmmo,"Turn Off"
activeBlockPrompt,"{0}\n[73E9B2](Active)[-]"
inactiveBlockPrompt,"{0}\n[606060](Inactive)[-]"
uiOpenJammed,"[73E9B2][{0}][-] Open {1}\n[606060](Jammed)[-]"
uiOpenLocked,"[73E9B2][{0}][-] Open {1}\n[606060](Locked)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] Open {1}\n[606060](Unlocked)[-]"
uiOwnedBy,"Owned by {0}"
blockcommand_aim,"Aim"
blockcommand_confirm,"Confirm Placement"
blockcommand_craft,"Craft"
blockcommand_do_nothing,"Do nothing"
blockcommand_edit1,"Edit"
blockcommand_edit2,"Edit"
blockcommand_fuel_add,"Add to container"
blockcommand_fuel_take,"Fill up from container"
blockcommand_recharge,"Recharge"
blockcommand_refuel,"Refuel"
blockcommand_add_filter,"Add Filter"
blockcommand_research,"Research"
blockcommand_repair,"Repair"
blockcommand_search,"Search"
blockcommand_toggle,"Toggle On/Off"
blockcommand_pick1,"Pick Lock\n[606060](Lockpick)[-]"
blockcommand_pick2,"Pick Lock\n[606060](Bobby Pin)[-]"
blockcommand_set_spawn,"Set Spawn"
blockcommand_useC4,"Use Timed Charge"
blockcommand_upgrade,"Upgrade"
blockcommand_broadcast_on,"Broadcast Storage"
blockcommand_broadcast_off,"Stop Broadcasting"
blockcommand_turn_on,"Turn On"
blockcommand_turn_off,"Turn Off"
uiNull,""
uiActionFillFrom,"{0} Fill {1} from {2}"
uiActionFillTo,"{0} Add {1} to {2}"
uiActionChangeAmountTip,"[c0c0c0]([-][73E9B2]{0}[-] [c0c0c0]or[-] [73E9B2]{1}+{0}[-] [c0c0c0] to change count)[-]"
uiActionTake,"{0} Take {1}"
uiActionUse,"[73E9B2][{0}][-] Use {1}"
uiActionUntouched,"\n[73E9B2](Untouched)[-]"
uiActionSkillLevelUp,"Your [decea3]{0}[-] skill has improved to level [decea3]{1}[-]!"
uiActive,"Active"
uiAll,"All"
uiAllResearch,"All Research"
uiAmmo,"Ammo"
uiAmmoAndExplosives,"Ammunition/Explosives"
uiAmmunition,"Ammunition"
uiArmor,"Armor"
uiAttention,"Attention"
uiBackpack,"Backpack"
uiBasicCrafting,"Craft"
uiBiomeName,"Biome Name"
uiBloodMoon,"Blood Moon"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockIDUsed,"{0} Block IDs Used"
uiBlockMissing,"Missing block"
uiBlockName,"{0}"
uiBooksSchematics,"Books and Schematics"
uiBroadcasting,"Broadcasting"
uiBroadcastRange,"Broadcast Range"
uiBroadcastStorage,"Broadcast storage for crafting"
uiBuffs,"Buffs"
uiCantPickUpFuelNotEmpty,"Workstation Fuel slots not empty!"
uiCantPickUpInputNotEmpty,"Workstation Input slots not empty!"
uiCantPickUpOutputNotEmpty,"Workstation Output not empty!"
uiCantPickUpQueueNotEmpty,"Workstation Queue not empty!"
uiCantPickUpToolsNotEmpty,"Workstation Tools slots not empty!"
uiCatchTarget,"[73E9B2][{0}][-] Catch {1}"
uiCategoryTotal,"Category Total: {0}"
uiChickenCoopFeed,"[73E9B2][{0}][-] Feed {1}"
uiCircuit,"Circuit: {0}"
uiClothing,"Clothing"
uiClothingAndArmor,"Clothing and Armor"
uiClothingArmorMods,"Clothing/Armor Mods"
uiColorPickerHex,"Color (Hex)"
uiColorPickerRGB,"Color (RGB)"
uiConfigureBlock,"[73E9B2][{0}][-] Configure {1}"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Confirm Placement"
uiContainer,"Container"
uiCopy,"Copy"
uiCopyIDToClipboard,"Copy ID To Clipboard"
uiCount,"Count"
uiCrafted,"Crafted"
uiCraftedIn,"Crafted in "
uiCraftingFuel,"Fuel"
uiCraftingInput,"Input"
uiCraftingOutput,"Output"
uiCraftingQueue,"Queue"
uiCraftingQueueAndOutput,"Queue/Output"
uiCraftingTools,"Tools"
uiCraftOutput,"Craft output"
uiCrouching,"Crouching"
uiDayLeft,"Day Left"
uiDaysLeft,"Days Left"
uiDebugBiome,"Biome"
uiDebugBlock,"Block"
uiDebugClass,"Class"
uiDebugWeather,"Weather"
uiDebugGamepadBtn,"GamepadBtn"
uiDebugMaterial,"Material"
uiDebugPrefab,"Prefab"
uiDebugRegion,"Region"
uiDebugTileEntity,"TileEntity"
uiDebugObject,"Object"
uiDebugWaterFlow,"Water Flow"
uiDescription,"Description"
uiDetails,"Details"
uiDifficulty,"Difficulty"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Bottom Door"
ui_door_left,"Left Door"
ui_door_middle,"Middle Door"
ui_door_right,"Right Door"
ui_door_top,"Top Door"
ui_drawer_bottom,"Bottom Drawer"
ui_drawer_left,"Left Drawer"
ui_drawer_left_bottom,"Left Bottom Drawer"
ui_drawer_left_middle,"Left Middle Drawer"
ui_drawer_left_top,"Left Top Drawer"
ui_drawer_middle,"Middle Drawer"
ui_drawer_right,"Right Drawer"
ui_drawer_right_bottom,"Right Bottom Drawer"
ui_drawer_right_middle,"Right Middle Drawer"
ui_drawer_right_top,"Right Top Drawer"
ui_drawer_top,"Top Drawer"
ui_drawer_top_middle,"Top Middle Drawer"
uiExplosives,"Explosives"
uiExplosivesAndMines,"Explosives and mines"
uiFeatureInProgress,"Work in progress feature currently in development.\nMight not work, do nothing or work partially."
uiFoodAndDrinks,"Food and Drinks"
uiGameContinue,"Continue Game"
uiGameNew,"New Game"
uiGrowing,"Growing "
uiHeaderCrafting,"Crafting"
uiHeaderCharacter,"Character"
uiHeaderMap,"Map"
uiHeaderSkills,"Progress"
uiHeaderQuests,"Missions"
uiHeaderJournal,"Journal"
uiHeaderPlayers,"Players"
uiHeaderCreative,"Creative"
uiIdle,"Idle"
uiIngredientHave,", Have: "
uiIngredientInclModded,"Including modded"
uiIngredientNeed,"\nNeed: "
uiIngredientRetrieve,"\nRetrievable: "
uiInspectBlock,"[73E9B2][{0}][-] Inspect {1}"
uiInspectLockSlot,"To lock an inventory slot"
uiInspectStackSingle,"To drop one item at a time"
uiInspectStackSplit,"Hold and drag to take a half stack"
uiInspectStackSwap,"To drop or swap a stack"
uiInspectStackTake,"Hold and drag to take a stack"
uiInspectStackView,"To inspect an item, recipe or active effect"
uiInsufficientStationLevel,"Insufficient Station Level"
uiInteractWithBlock,"Interact with {0}"
uiInventory,"Inventory"
uiItemNotFound,"Missing item [73E9B2]{0}[-]"
uiItemRequired,"Requires {0}"
uiKeyPrimary,"[action:local:Primary]"
uiKeySecondary,"[action:local:Secondary]"
uiKeyLockSlot,"[action:gui:GUILockSlot]"
uiLevelShort,"LVL"
uiLightRecharge,"[73E9B2][{0}][-] Recharge {1}"
uiLightToggle,"[73E9B2][{0}][-] Toggle {1}"
uiLocked,"Locked"
uiLockAutoPick,"Auto-Pick"
uiLockAutoPickChance,"Auto-Pick chance: [decea3]{0}%[-]"
uiLockVeryEasy,"Very Easy"
uiLockEasy,"Easy"
uiLockAverage,"Average"
uiLockHard,"Hard"
uiLockVeryHard,"Very Hard"
uiLockExtremelyHard,"Extremely Hard"
uiLockImpossible,"Impossible"
uiLockpicked,"Picked"
uiLockpickingInsufficient,"Your lockpicking level [FF1919]{0}[-] is not high enough to lockpick this level [decea3]{1}[-] lock."
uiLockpickingSkillLevel,"Lockpicking"
uiLockpickingLockLevel,"Lock"
uiLockpicksLeft,"You have [decea3]{0} {1}[-] left"
uiLockpicksLeftNone,"You don't have any [decea3]{0}[-] in your inventory."
uiLockpicksTooltipKB,"Use the [73E9B2][{0}][-] or [73E9B2][{1}][-] keys or hold [73E9B2][{2}][-] and drag the [73E9B2][Mouse Cursor][-] across the screen to move the [decea3]{3}[-]. Then [73E9B2][{4}][-] to try to unlock."
uiLockpicksTooltipGP,"Use the [73E9B2][{0}][-] or [73E9B2][{1}][-] keys to move the [decea3]{2}[-]. Then [73E9B2][{3}][-] to try to unlock."
uiUnlocksAtTradeStage,"Unlocks at Trade Level"
uiUnlocksAtTradeStageTip,"Unlocks at Trade Level {0}"
uiMapBedroll,"Save Point"
uiMapCursor,"Cursor"
uiMapInfo,"Info"
uiMapPlayer,"Position"
uiMapWaypoint,"Waypoint"
uiMapWaypoints,"Waypoints"
uiMapWaypointsPersonal,"Personal"
uiMapWaypointsShared,"Shared"
uiMaterial,"Material"
uiMax,"Max"
uiMenuSupport,"Donations and social"
uiMiscellaneous,"Miscellaneous"
uiMissingCraftingRecipe,"Missing Crafting Recipe"
uiMissingIngredients,"Missing ingredients"
uiMissingScrapWires,"You don't have any [decea3]Scrap Wire[-] in your inventory"
uiMissingTool,"Missing tool"
uiMissingKnowledge,"Missing knowledge"
uiMods,"Mods"
uiMovementSpeed,"Movement Speed"
uiMovementState,"Movement"
uiNearbyStorage,"Nearby Storage"
uiNoFuel,"No Fuel"
uiNoPower,"No power"
uiNoSellPrice,"No Sell Price"
uiNoSkillPoints,"No Skill Points"
uiNoUpgradesForBlock,"Block can't be upgraded"
uiOr,"or"
uiPatchNotes,"News and latest patch notes"
uiPerkPoints,"Perk Points"
uiPinIngredients,"Pin ingredients"
uiPlantNeedsMoreLight,"\n[FF6A00]Needs more light[-]"
uiPlantNoLight,"Insufficient light"
uiPlantHasLight,"Has Light"
uiPlantNotFarmland,"Incorrect Soil"
uiPlantLightInfo,"Has: {0}, Needs: {1}"
uiPlayerEffects,"Effects"
uiPlayerPreview,"Character preview"
uiPlayerHidePreview,"Hide character preview"
uiPlayerStats,"Stats"
uiPlayerStatsCore,"Core Stats"
uiPlayerStatsMore,"More Details"
uiPlayerStatsLess,"Hide Details"
uiPlayerStatsAdvanced,"Advanced Details"
uiPower,"Power"
uiPowered,"Powered"
uiPowerOutput,"Output"
uiPowerRemainingFuel,"Fuel Left"
uiPowerUsed,"Used"
uiPrefabId,"Prefab ID"
uiPrefabName,"Prefab Name"
uiPrefabNr,"Nr"
uiPricePrefix,"$"
uiPrimaryMaterial,"Primary Material"
uiProcessLaying,"\n[decea3]Laying[-]"
uiProcessGathering,"\n[decea3]Gathering[-]"
uiProcessGrowing,"\n[decea3]Growing[-]"
uiProcessMining,"\n[decea3]Mining[-]"
uiProcessSwarming,"\n[decea3]Swarming[-]"
uiQuality,"Quality"
uiQuality1,"F A U L T Y"
uiQuality2,"C O M M O N"
uiQuality3,"U N C O M M O N"
uiQuality4,"R A R E"
uiQuality5,"E P I C"
uiQuality6,"L E G E N D A R Y"
uiQualityPrefix1,"FAULTY"
uiQualityPrefix2,"COMMON"
uiQualityPrefix3,"UNCOMMON"
uiQualityPrefix4,"RARE"
uiQualityPrefix5,"EPIC"
uiQualityPrefix6,"LEGENDARY"
uiQuestsShared,"Shared"
uiRadiation,"Radiation"
uiRandomSpawner,"[decea3][{0} Random Spawner][-]"
uiRayHitBlockName,"Block Name"
uiRayHitTileEntity,"Tile Entity"
uiRecyclable,"Recyclable"
uiRefillWater,"Refill Water"
uiRefreshServerList,"Refresh"
uiRegionFile,"Region File"
uiRepair,"Repair"
uiRepairable,"Repairable"
uiRepairCost,"Repair cost"
uiRepairItem,"Repaired with"
uiRequirements,"Requirements"
uiRequires,"Requires"
uiRequiredMaterials,"Required materials"
uiRequiredTool,"Required Tool"
uiRequiredTradeStage,"Required Trade Level"
uiResearchLearn,"Learn"
uiResearchLearned,"Learned"
uiResearchUnlearned,"Unlearned"
uiResearchStatus,"Status"
uiResetZoomAndPosition,"Reset Zoom and Position"
uiResistance,"Resistance"
uiResistances,"Resistances"
uiRespecPoints,"Respec Points"
uiRestrictedArea,"Restricted Area"
uiRetrievableComponents,"Retrievable components"
uiRunning,"Running"
uiScrapped,"Scrapped"
uiScrappedIn,"Scrapped in "
uiScrapMaterial,"Scrap material"
uiSearch,"Search"
uiServerFilters,"Filters"
uiServers,"Servers"
uiServiceInfo,"Service Info"
uiSettings,"Settings"
uiShowOnMap,"Show on map"
uiShowPartsPrefabs,"Show Part Prefabs"
uiShowRwgTilePrefabs,"Show RWG Tile Prefabs"
uiSignEdit,"Edit Text"
ui_skill_buy,"Level up"
ui_skill_cost,"Level up cost"
ui_skill_exp,"Skill experience"
ui_skill_level,"Current level"
ui_skill_points,"Skill points"
uiSkillPoint,"Skill Point"
uiSkillPoints,"Skill Points"
ui_skill_points_available,"Available skill points"
uiSkillPointsName,"Skill Points"
uiSkillBuy,"Level up"
uiSkillPointShort,"PT"
uiSkillPointsShort,"PTs"
uiSortName,"Sort by name (ASC)"
uiSortGroup,"Sort by type (ASC)"
uiSortPrice,"Sort by price (DESC)"
uiSortWeight,"Sort by weight (DESC)"
uiSPCostNext,"Next level: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Stats"
uiStorage,"Storage"
uiStorageCompartment,"Area"
uiStorageCompartments,"Areas"
uiTabPersonal,"Personal"
uiTabShared,"Shared"
uiTeleportEW,"X (E/W)"
uiTeleportNS,"Z (N/S)"
uiTimeDay,"{0} day"
uiTimeDays,"{0} days"
uiTimeHour,"{0} hour"
uiTimeHours,"{0} hours"
uiTimeMinute,"{0} minute"
uiTimeMinutes,"{0} minutes"
uiTimeSecond,"{0} second"
uiTimeSeconds,"{0} seconds"
uiToggleSearch,"Toggle Search"
uiTotal,"Total: {0}"
uiTotalCostMissing,"Entries Missing Cost: {0}"
uiTotalRecipesMissing,"Entries Missing Recipes: {0}"
uiTotalCategoryRecipesMissing,"Entries Missing Recipes in Category: {0}"
uiTraderStage,"Trade Level"
uiTraps,"Traps"
uiTransferAll,"Move all items\nfrom backpack to container"
uiTransferAllToBag,"Take all"
uiTransferStackables,"Move all stackable items\nfrom backpack to container"
uiTransferStackablesToBag,"Take all stackable items"
uiTurnOn,"Turn On"
uiTurnOff,"Turn Off"
uiType,"Type"
uiUpgrade,"Upgrade"
uiUpgradeChance,"Upgrade chance"
uiUpgradeCost,"Upgrade cost"
uiUpgradeFail,"[FF1919]Upgrade Failed[-]"
uiUpgradeMax,"No further upgrades possible"
uiUpgradeSuccess,"[73E9B2]Upgrade Successful[-]"
uiUpgradeRemoveMods,"[decea3]Cannot upgrade with mods installed[-]"
uiUpgradeRequiresRepairs,"[decea3]Item must be repaired first[-]"
uiUnderwater,"Underwater"
uiUnlocks,"Unlocks"
uiUnlocked,"Unlocked"
uiUnlockedBy,"Unlocked By"
uiUnlockedByResearch,"Unlocked by {0} research"
uiUnknownIngredient,"Unknown ingredient"
uiUnlearned,"Unlearned"
uiUnpinPinnedRecipe,"Unpin Pinned Recipe"
uiValue,"Value"
uiVehicleCargo,"Cargo Limit"
uiVehicleSeats,"Seats"
uiVehicleSlots,"Cargo Slots"
uiVehicleConsumption,"Consumption"
uiVehicleFuelEfficiency,"Fuel Efficiency"
uiVehicles,"Vehicles"
uiVehicleSpeed,"Speed"
uiVehicleSpeedTurbo,"Turbo Speed"
uiVehicleTank,"Fuel Tank"
uiVersionNewAvailable,"Update available"
uiWalking,"Walking"
uiWireLength,"Wire Length"
uiWireParentLimitWarning,"This power component cannot have more than one parent."
uiWorkstation,"Workstation"
uiWeaponsMelee,"Melee Weapons"
uiWeaponsMeleeAndTools,"Melee Weapons and Tools"
uiWeaponsRanged,"Ranged Weapons"
uiWeight,"Weight"
uiWorkstationNotEmpty,"Workstation not empty"
uiServerVersionMissmatch,"Undead Legacy Client version doesn't match server version"
uiServerVersionUnknown,"[ff0000]Unknown[-]"
statAccuracy,"Accuracy"
statAlcohol,"Alcohol"
statAlcoholMax,"Max Alcohol"
statArmorRating,"Armor rating"
statAttackSpeed,"Attack speed"
statAttacksPerMinute,"Melee Attack Speed"
statBattery,"Battery"
statBlockDamage,"Block Damage"
statBlocksLight,"Blocks Light"
statBurnTime,"Burn Time"
statCarbs,"Carbs"
statCarbsMax,"Max Carbs"
statCondition,"Condition"
statCharges,"Charges"
statCoreTemp,"Body Temp"
statCraftingTier,"Crafting Tier"
statCraftingTime,"Crafting Time"
statCraftingSpeed,"Crafting Speed"
statCurrentLife,"Current Life"
statDamage,"Damage"
statDeaths,"Deaths"
statDismemberChance,"Dismemberment Chance"
statDurability,"Durability"
statDurabilityMax,"Max Durability"
statDurabilityUse,"Durability wear multiplier"
statEfficiency,"Efficiency"
statTravelled,"Traveled"
statDysenteryChance,"Dysentery risk"
statEncumbered,"Encumbered"
statEncumbrance,"Encumbrance"
statEncumbranceBonus,"Additional carry limit"
statEnemySearchDuration,"Enemy Search Duration"
statExpRate,"XP Bonus"
statExpToNextLevel,"XP till level Up"
statFat,"Fat"
statFatMax,"Max Fat"
statFireRate,"Fire Rate"
statFood,"Food"
statFoodMax,"Max Food"
statFoodRate,"Food Burn Rate"
statFuel,"Fuel"
statGas,"Gas"
statHandling,"Handling"
statHarvestChance,"Bonus Harvest Chance"
statHealing,"Healing"
statHealth,"Health"
statHealthMax,"Max Health"
statHealthRegen,"Health Regen"
